city,lat,lng,country,iso2,admin,capital,population,population_proper,population_density per sq km
Churchill,58.766667,-94.166667,Canada,CA,Manitoba,,1000,923,16.7
Repulse Bay,66.516667,-86.233333,Canada,CA,Nunavut,,1000,748,2.2
Tuktoyaktuk,69.45,-133.066667,Canada,CA,Northwest Territories,,929,870,64.1
Berens River,52.366667,-97.033333,Canada,CA,Manitoba,,892,153,78
Shamattawa,55.85,-92.083333,Canada,CA,Manitoba,,870,870,47
Baddeck,46.1,-60.75,Canada,CA,Nova Scotia,,852,852,369.1
Coral Harbour,64.133333,-83.166667,Canada,CA,Nunavut,,834,834,6.5
La Scie,49.966667,-55.583333,Canada,CA,Newfoundland and Labrador,,817,817,29.9
Watson Lake,60.116667,-128.8,Canada,CA,Yukon,,802,802,129.4
Taloyoak,69.533333,-93.533333,Canada,CA,Nunavut,,774,774,27.3
Natashquan,50.183333,-61.816667,Canada,CA,Québec,,722,722,1.2
Buchans,48.816667,-56.866667,Canada,CA,Newfoundland and Labrador,,685,685,131.5
Hall Beach,68.766667,-81.2,Canada,CA,Nunavut,,654,654,50.4
Arctic Bay,73.033333,-85.166667,Canada,CA,Nunavut,,604,604,3.5
Fort Good Hope,66.266667,-128.633333,Canada,CA,Northwest Territories,,597,597,10.9
Mingan,50.3,-64.016667,Canada,CA,Québec,,588,588,24.1
Kangirsuk,60.016667,-70.033333,Canada,CA,Québec,,549,549,9.6
Sandspit,53.239111,-131.818769,Canada,CA,British Columbia,,538,538,51
Délįne,65.183333,-123.416667,Canada,CA,Northwest Territories,,525,262,6.7
Fort Smith,60,-111.883333,Canada,CA,Northwest Territories,,518,518,537.83
Cartwright,53.7,-57.016667,Canada,CA,Newfoundland and Labrador,,505,505,2605
Holman,70.733333,-117.75,Canada,CA,Northwest Territories,,500,398,124.43
Lynn Lake,56.85,-101.05,Canada,CA,Manitoba,,482,482,0.5
Schefferville,54.8,-66.816667,Canada,CA,Québec,,471,471,5.7
Trout River,49.483333,-58.116667,Canada,CA,Newfoundland and Labrador,,452,452,5.34
Forteau Bay,51.45,-56.95,Canada,CA,Newfoundland and Labrador,,448,448,57.6
Fort Resolution,61.166667,-113.683333,Canada,CA,Northwest Territories,,448,448,2.7
Hopedale,55.45,-60.216667,Canada,CA,Newfoundland and Labrador,,442,442,157.9
Pukatawagan,55.733333,-101.316667,Canada,CA,Manitoba,,431,431,94.2
Trepassey,46.733333,-53.366667,Canada,CA,Newfoundland and Labrador,,398,398,8.6
Kimmirut,62.85,-69.883333,Canada,CA,Nunavut,,385,385,171.7
Chesterfield Inlet,63.333333,-90.7,Canada,CA,Nunavut,,374,374,3.1
Eastmain,52.233333,-78.516667,Canada,CA,Québec,,335,335,1
Dease Lake,58.476697,-129.96146,Canada,CA,British Columbia,,303,303,39
Paulatuk,69.383333,-123.983333,Canada,CA,Northwest Territories,,294,294,4
Fort Simpson,61.85,-121.333333,Canada,CA,Northwest Territories,,283,283,15.3
Brochet,57.883333,-101.666667,Canada,CA,Manitoba,,278,278,71.6
Cat Lake,51.716667,-91.8,Canada,CA,Ontario,,277,277,28.7
Radisson,53.783333,-77.616667,Canada,CA,Québec,,270,270,97.3
Port-Menier,49.816667,-64.35,Canada,CA,Québec,,263,263,0.03
Resolute,74.683333,-94.9,Canada,CA,Nunavut,,250,229,1.7
Saint Anthony,51.383333,-55.6,Canada,CA,Newfoundland and Labrador,,224,224,61
Port Hope Simpson,52.533333,-56.3,Canada,CA,Newfoundland and Labrador,,197,197,12.7
Oxford House,54.95,-95.266667,Canada,CA,Manitoba,,184,184,38.2
Tsiigehtchic,67.433333,-133.75,Canada,CA,Northwest Territories,,175,175,3.5
Ivujivik,62.416667,-77.9,Canada,CA,Québec,,156,156,10.5
Stony Rapids,59.266667,-105.833333,Canada,CA,Saskatchewan,,152,152,61.3
Alert,82.483333,-62.25,Canada,CA,Nunavut,,125,70,4.24
Fort Severn,55.983333,-87.65,Canada,CA,Ontario,,125,125,8.2
Rigolet,54.166667,-58.433333,Canada,CA,Newfoundland and Labrador,,124,124,206
Lansdowne House,52.216667,-87.883333,Canada,CA,Ontario,,120,120,3471
Salluit,62.2,-75.633333,Canada,CA,Québec,,106,106,101.1
Łutselk’e,62.4,-110.733333,Canada,CA,Northwest Territories,,102,102,3.8
Uranium City,59.566667,-108.616667,Canada,CA,Saskatchewan,,89,89,4.58
Burwash Landing,61.35,-139,Canada,CA,Yukon,,73,73,2.4
Grise Fiord,76.416667,-82.95,Canada,CA,Nunavut,,23,23,0.4
Big Beaverhouse,52.95,-89.883333,Canada,CA,Ontario,,10,10,0.5
Island Lake,53.966667,-94.766667,Canada,CA,Manitoba,,10,10,123.1
Ennadai,61.133333,-100.883333,Canada,CA,Nunavut,,0,0,4
